,monthly_salary,fico,utilization,card_limit,card_interest_rate,model_output,model_target
40,18049,810,2.21%,40311,10.40%,0.7124,0
41,135669,813,14.01%,15867,8.83%,0.4132,0
42,95868,847,10.48%,48221,11.34%,0.8384,0
43,90246,708,11.05%,19885,4.46%,0.7782,0
44,182525,784,7.21%,30590,6.15%,0.0496,0
45,166492,671,5.08%,44947,11.90%,0.4063,0
46,60416,755,3.74%,44098,11.73%,0.2878,0
47,144007,662,11.89%,43597,4.53%,0.5298,0
48,113170,707,5.84%,45132,2.39%,0.7304,0
49,47979,611,8.97%,35831,5.11%,0.0115,0
50,120644,879,2.47%,37880,6.35%,0.2767,0
51,146814,864,5.89%,31841,4.24%,0.0357,0
52,169359,759,7.30%,16729,10.09%,0.3695,0
53,146430,837,12.03%,36063,4.66%,0.5216,0
54,187204,644,3.97%,10843,2.19%,0.668,1
55,34788,810,12.28%,34794,11.18%,0.2345,0
56,194899,786,6.76%,48535,11.17%,0.0941,0
57,80752,625,4.99%,47229,11.10%,0.8005,1
58,159184,636,11.83%,15984,6.84%,0.2341,0
59,58394,793,9.16%,18405,11.85%,0.1943,0
60,68910,653,10.57%,36537,7.99%,0.9583,1
61,52756,829,6.48%,18754,2.44%,0.0986,0
62,64593,659,13.82%,43790,3.86%,0.6593,1
63,169880,775,7.68%,41388,5.78%,0.0265,0
64,45551,883,16.21%,39217,9.11%,0.4573,0
65,127615,835,15.81%,25293,3.22%,0.6237,0
66,96789,757,12.26%,28864,10.82%,0.589,1
67,26788,673,14.42%,24343,2.62%,0.8531,1
68,167203,801,7.64%,11569,6.66%,0.5307,0
69,122967,891,10.60%,12713,11.40%,0.2038,0
70,92791,639,16.29%,49130,11.38%,0.9831,0
71,118503,814,13.34%,7494,6.92%,0.9322,1
72,56183,814,3.59%,27310,9.48%,0.003,0
73,114237,732,11.55%,47122,5.44%,0.0467,0
74,189115,879,9.69%,36725,5.35%,0.3622,0
75,69837,812,9.08%,41605,5.98%,0.0996,0
76,136384,632,15.58%,42473,4.71%,0.758,1
77,106263,889,6.80%,19600,6.55%,0.2921,0
78,31295,746,13.06%,7276,8.74%,0.1438,0
79,121225,800,6.49%,31363,3.99%,0.2727,0
80,148542,795,0.31%,20582,9.86%,0.0683,0
81,197301,603,10.67%,31550,7.24%,0.7852,0
82,104825,717,14.10%,26900,8.31%,0.1596,0
83,28939,657,4.95%,36476,11.79%,0.8825,1
84,81063,877,11.54%,49236,6.87%,0.4068,0
85,70855,854,11.17%,31636,5.55%,0.2546,0
86,37625,639,12.62%,39173,3.89%,0.6139,0
87,61199,648,11.47%,13161,5.20%,0.7452,0
88,42532,700,1.98%,25243,9.25%,0.7598,1
89,103675,745,2.55%,45321,6.07%,0.8723,1
90,57622,618,16.46%,27292,5.42%,0.2023,0
91,156790,742,6.33%,12572,6.67%,0.0699,0
92,122085,711,13.82%,20446,3.68%,0.9247,1
93,194474,609,4.75%,46887,2.94%,0.9888,1
94,43284,775,14.77%,24847,10.34%,0.8411,0
95,52098,657,13.13%,17904,4.20%,0.0065,0
96,109930,886,9.90%,27945,7.80%,0.5337,0
97,157698,769,6.10%,36679,6.96%,0.6957,1
98,50241,882,12.59%,46921,11.67%,0.4762,0
99,190143,765,14.53%,8595,8.60%,0.3854,0
100,62237,707,3.17%,23748,6.52%,0.5698,0
101,19788,671,13.85%,38001,9.07%,0.7459,1
102,163333,645,1.93%,21736,6.45%,0.7384,1
103,191284,669,15.46%,43085,5.50%,0.0716,0
104,12573,781,6.47%,16808,10.38%,0.9618,0
105,132008,660,8.04%,28745,4.84%,0.2811,0
106,140551,722,3.05%,26708,9.23%,0.7896,1
107,179897,875,4.48%,31033,10.95%,0.6626,0
108,155876,638,14.69%,40959,10.66%,0.4323,0
109,173886,739,1.33%,12370,10.24%,0.7589,0
110,133416,883,1.87%,41533,5.59%,0.5667,1
111,114255,690,0.50%,6802,10.44%,0.0973,0
112,160801,831,13.71%,20563,7.74%,0.1574,0
113,84853,810,11.34%,16274,7.30%,0.4531,0
114,127363,834,2.56%,29907,6.19%,0.7705,0
115,128311,703,13.83%,23228,9.27%,0.1103,0
116,61971,742,1.22%,17554,11.12%,0.9446,1
117,98510,823,1.87%,42964,9.15%,0.9055,1
118,185632,606,7.36%,5598,2.68%,0.3693,0
119,173961,819,12.83%,18436,8.80%,0.3646,0
120,55351,839,4.69%,21118,11.62%,0.5825,1
121,174307,715,12.40%,35685,8.16%,0.7514,0
122,141076,663,13.19%,12800,3.05%,0.0922,0
123,90657,669,5.39%,28488,6.91%,0.5294,0
124,137557,750,7.10%,32484,9.22%,0.7291,1
125,15236,845,4.91%,25319,7.32%,0.4094,0
126,122107,674,9.07%,35184,5.46%,0.3713,0
127,35997,870,16.26%,15176,3.07%,0.5274,1
128,163484,740,8.51%,11163,2.56%,0.2102,0
129,97310,644,12.47%,34450,4.73%,0.2306,0
130,61767,795,2.92%,12582,6.40%,0.4597,0
131,166113,843,1.54%,41162,7.94%,0.6729,0
132,156081,637,11.52%,10509,9.51%,0.8805,1
133,197257,640,9.69%,7429,3.48%,0.8344,1
134,42630,772,2.25%,29005,11.10%,0.9997,1
135,28268,701,6.63%,18943,5.20%,0.4441,0
136,157558,612,3.78%,29624,11.72%,0.2634,0
137,178999,697,6.90%,32223,4.05%,0.5245,1
138,104843,829,2.30%,25563,11.69%,0.1431,0
139,40198,848,9.85%,40871,8.26%,0.1901,0
140,82643,840,5.12%,30541,9.86%,0.0299,0
141,166954,840,14.60%,15513,4.74%,0.8749,0
142,150233,862,14.99%,11917,11.20%,0.439,0
143,181150,871,1.95%,29524,8.01%,0.1582,0
144,71808,708,16.20%,19042,10.48%,0.0042,0
145,105203,791,16.11%,42316,6.10%,0.8014,1
146,21883,885,2.53%,30078,9.51%,0.0933,0
147,68565,739,13.44%,41298,8.48%,0.8476,1
148,175625,651,1.10%,44664,9.71%,0.7895,1
149,105955,692,6.91%,19905,9.29%,0.6966,0
150,146067,759,10.44%,49730,11.04%,0.8785,0
151,111725,896,2.43%,20949,6.04%,0.8435,0
152,150566,844,6.86%,35243,4.14%,0.2959,0
153,78590,687,10.03%,43376,4.13%,0.4912,0
154,111776,877,9.16%,34768,2.20%,0.9252,1
155,49433,777,3.76%,41232,4.53%,0.9662,1
156,11686,805,2.49%,38820,3.86%,0.4245,0
157,161837,678,6.71%,21564,2.65%,0.8317,1
158,102455,710,2.52%,21416,11.04%,0.8643,0
159,103136,869,16.47%,24426,2.94%,0.7824,0
160,148662,702,8.52%,45837,8.43%,0.9088,0
161,106353,715,15.13%,32399,5.13%,0.9119,1
162,64770,727,9.88%,44100,10.46%,0.3026,0
163,49494,804,4.36%,46781,4.38%,0.2685,0
164,68636,685,1.99%,12350,2.06%,0.8503,1
165,33153,712,6.13%,25924,11.21%,0.8821,1
166,190478,805,12.22%,46245,11.32%,0.4145,0
167,167605,877,3.60%,22378,5.36%,0.6912,1
168,32260,828,4.76%,5411,10.26%,0.796,0
169,14881,657,13.95%,21425,5.72%,0.1754,0
170,69569,623,2.23%,24302,11.50%,0.5113,1
171,95573,876,4.77%,29935,11.97%,0.5745,1
172,48160,833,11.09%,19854,6.83%,0.3029,0
173,121991,743,16.08%,42082,9.88%,0.5344,0
174,105971,727,12.60%,34601,2.23%,0.8084,0
175,199191,814,5.35%,19386,5.29%,0.9608,0
176,85856,609,1.13%,6485,6.33%,0.8077,0
177,174353,621,1.27%,31528,11.32%,0.0012,0
178,111068,743,14.69%,9075,3.55%,0.2547,0
179,151860,701,11.61%,14897,11.79%,0.0409,0
180,137904,742,3.06%,35071,4.49%,0.2794,0
181,80698,692,3.17%,31563,2.91%,0.6418,0
182,35288,841,14.51%,37513,6.85%,0.2095,0
183,189821,880,6.72%,37087,5.80%,0.6281,0
184,188687,702,7.89%,46561,6.02%,0.5699,1
185,113666,891,15.33%,13976,8.96%,0.316,0
186,83862,881,8.72%,45755,3.25%,0.957,0
187,140013,620,11.06%,44875,10.03%,0.8813,1
188,59896,659,8.31%,37744,7.07%,0.5971,0
189,126999,693,4.01%,12155,9.36%,0.3746,0
190,109707,858,16.15%,21163,3.36%,0.5336,0
191,99671,723,7.67%,16323,7.28%,0.1445,0
192,161295,608,8.72%,42850,7.33%,0.4981,0
193,43642,841,16.33%,44670,6.53%,0.7696,0
194,164142,778,3.34%,8793,5.69%,0.1102,0
195,186945,891,7.92%,18236,10.84%,0.7627,0
196,109814,834,5.01%,15679,5.08%,0.6682,1
197,99152,819,8.04%,38534,7.54%,0.6956,1
198,94842,842,10.11%,43888,8.05%,0.2199,0
199,160428,656,5.38%,26112,3.94%,0.2593,0
200,90491,839,9.92%,17520,7.05%,0.1702,0
201,93936,665,5.73%,24208,3.95%,0.5456,1
202,170089,813,1.71%,38733,8.75%,0.4483,0
203,192582,680,10.63%,24220,8.64%,0.3162,0
204,79074,770,1.74%,35435,3.59%,0.3383,0
205,10336,814,4.29%,17686,4.79%,0.6627,1
206,158929,632,12.73%,24457,2.15%,0.8178,0
207,157501,650,8.78%,20204,2.82%,0.582,1
208,158448,812,2.72%,27521,9.10%,0.5302,0
209,96575,747,0.37%,17226,3.96%,0.094,0
210,108393,723,2.92%,36033,6.25%,0.9854,1
211,137419,889,2.40%,19628,9.98%,0.4561,0
212,169243,804,13.45%,6377,6.84%,0.8863,0
213,18955,675,8.20%,48360,11.92%,0.313,0
214,191354,806,1.11%,11626,8.11%,0.5477,0
215,84742,693,10.66%,13318,10.00%,0.642,0
216,119176,871,8.36%,9347,7.25%,0.6451,1
217,136566,757,12.99%,35833,2.97%,0.668,0
218,162008,657,3.29%,25424,6.94%,0.2024,0
219,127163,635,9.39%,39165,10.97%,0.4466,0
220,75767,878,2.62%,34041,8.81%,0.032,0
221,59024,622,5.77%,5033,3.67%,0.1327,0
222,130286,809,14.13%,31260,3.48%,0.247,0
223,52716,775,14.07%,30322,11.28%,0.5116,0
224,133128,622,13.43%,35298,11.01%,0.9894,1
225,47485,682,11.80%,18290,4.81%,0.7907,0
226,131757,876,12.34%,22672,8.48%,0.9171,0
227,169268,689,14.54%,28352,8.58%,0.9094,1
228,65502,802,11.63%,19999,9.71%,0.0519,0
229,182329,885,5.88%,23135,9.57%,0.3663,0
230,195794,809,11.40%,38518,3.12%,0.3604,0
231,39083,617,13.43%,47933,7.00%,0.3075,0
232,158154,622,6.91%,49084,5.96%,0.4775,0
233,67500,609,2.11%,45274,2.70%,0.0324,0
234,101917,658,12.39%,26889,8.59%,0.6231,1
235,103680,835,3.04%,19209,7.06%,0.212,0
236,130045,631,0.08%,11723,11.13%,0.3478,0
237,51533,875,13.20%,43509,11.53%,0.6691,1
238,162291,677,4.56%,18895,2.83%,0.8866,1
239,117148,870,1.80%,24720,3.26%,0.1391,0
240,82576,669,1.37%,49846,2.37%,0.7188,0
241,168734,710,11.11%,37353,7.36%,0.727,0
242,157381,680,12.23%,7798,7.59%,0.3328,0
243,157582,692,12.80%,30104,2.67%,0.9291,0
244,184349,771,4.73%,27102,4.74%,0.068,0
245,60917,727,4.38%,5363,7.48%,0.8567,1
246,81705,681,13.34%,23124,10.07%,0.439,0
247,136127,649,13.29%,36479,4.31%,0.3189,0
248,173606,678,8.00%,39935,8.41%,0.2164,0
249,180421,817,10.54%,33531,11.49%,0.5058,0
250,67539,864,15.41%,38597,9.43%,0.2095,0
251,171449,739,1.17%,27458,2.96%,0.3185,0
252,147627,615,10.79%,24619,2.09%,0.6275,1
253,148921,731,11.16%,38188,2.52%,0.7564,1
254,166218,752,2.50%,22213,10.06%,0.8327,1
255,154198,782,13.59%,5256,3.20%,0.9006,0
256,131849,852,6.43%,8022,6.57%,0.4836,0
257,23759,869,16.49%,46974,3.64%,0.7791,1
258,89474,819,11.77%,16295,10.37%,0.5237,1
259,151221,899,9.49%,28245,8.83%,0.002,0
260,121031,882,10.48%,26357,5.61%,0.2254,0
261,14178,883,1.82%,14380,11.73%,0.4125,0
262,56945,663,10.20%,20135,7.67%,0.8563,1
263,122873,867,5.99%,6601,10.62%,0.8641,0
264,30149,653,3.87%,5376,4.85%,0.2994,0
265,183921,882,9.60%,35276,6.66%,0.5425,0
266,100598,735,4.74%,42702,7.54%,0.719,0
267,98895,798,11.72%,28432,10.58%,0.2937,0
268,164091,770,12.66%,7318,3.32%,0.7077,1
269,124218,723,6.19%,40567,11.27%,0.1517,0
270,32439,826,15.84%,17944,8.56%,0.1408,0
271,28755,898,7.50%,35819,3.94%,0.5101,0
272,192507,666,16.28%,24390,6.24%,0.5769,1
273,122113,661,6.45%,38901,8.67%,0.1386,0
274,18349,681,7.65%,30423,11.46%,0.6224,1
275,161342,707,3.72%,38816,11.23%,0.8671,1
276,169415,687,4.53%,30742,2.26%,0.3717,0
277,103511,659,0.47%,11860,6.82%,0.2606,0
278,108360,792,16.05%,19334,5.01%,0.2827,0
279,36241,795,4.19%,15293,11.34%,0.8839,1
280,156308,698,7.75%,29688,3.01%,0.5666,1
281,168158,776,0.38%,12631,6.89%,0.8519,0
282,142064,825,13.54%,34548,9.76%,0.0842,0
283,94648,812,11.09%,25908,3.23%,0.7014,0
284,192642,603,4.02%,40395,8.21%,0.5606,1
285,65049,874,5.55%,9540,11.01%,0.2801,0
286,57192,722,15.32%,8907,4.71%,0.6348,1
287,32211,623,15.26%,26178,8.19%,0.2928,0
288,138618,741,12.44%,8395,4.40%,0.3669,0
289,131487,640,11.01%,11158,7.18%,0.4663,0
290,99633,681,13.34%,31888,11.20%,0.5836,1
291,128798,681,13.92%,16816,6.91%,0.499,0
292,122139,729,12.30%,37032,11.79%,0.1468,0
293,47127,653,6.83%,48899,3.87%,0.1705,0
294,194386,654,8.18%,25681,3.13%,0.4219,0
295,111274,719,16.66%,39004,5.39%,0.2346,0
296,114780,713,0.28%,7407,9.14%,0.966,1
297,76006,787,2.28%,6176,4.58%,0.1637,0
298,69081,659,8.34%,40929,2.21%,0.5833,0
299,44989,634,7.88%,8272,11.81%,0.0166,0
300,90427,734,13.45%,27485,3.30%,0.2495,0
301,174509,728,7.36%,35222,3.01%,0.8516,0
302,164765,892,1.23%,15587,2.70%,0.094,0
303,167606,743,12.13%,48993,11.93%,0.3031,0
304,25052,649,2.42%,46728,6.53%,0.2853,0
305,11739,835,16.51%,18580,2.88%,0.3936,0
306,12659,854,0.49%,46897,10.07%,0.6699,1
307,165396,719,8.38%,6260,4.14%,0.9993,1
308,36842,746,5.53%,46093,11.62%,0.7856,0
309,30665,774,14.08%,32183,2.54%,0.8704,0
310,40587,876,10.18%,13003,4.37%,0.075,0
311,36961,627,10.80%,48156,6.41%,0.8867,0
312,112529,696,16.05%,34222,2.40%,0.9502,0
313,53702,662,9.49%,45648,3.29%,0.5907,0
314,118586,798,14.52%,17563,9.92%,0.7648,1
315,22676,650,8.93%,38897,6.63%,0.6609,1
316,108412,808,1.88%,19419,4.40%,0.702,0
317,145259,828,10.70%,13085,2.32%,0.2021,0
318,110125,625,5.11%,42567,9.77%,0.3192,0
319,159881,795,7.60%,42449,4.67%,0.728,1
320,63095,640,12.78%,43357,8.68%,0.7575,1
321,175909,664,9.01%,39306,5.34%,0.8718,1
322,183050,698,10.60%,36703,4.76%,0.9402,0
323,24033,785,8.76%,41501,8.96%,0.9005,1
324,23440,651,11.92%,21477,9.84%,0.9855,0
325,188547,716,8.50%,31744,11.78%,0.4367,0
326,153116,775,14.32%,43805,4.64%,0.3336,0
327,124680,859,0.39%,18549,3.38%,0.6583,0
328,35654,886,11.98%,21770,7.91%,0.0648,0
329,65975,632,6.79%,22851,5.19%,0.0889,0
330,82587,793,16.37%,8331,10.57%,0.6261,0
331,72133,703,12.42%,19031,9.96%,0.6978,0
332,129808,862,15.19%,37906,2.43%,0.7991,1
333,101894,702,3.82%,5947,4.74%,0.8563,0
334,186972,601,1.41%,42338,6.68%,0.578,0
335,96254,626,15.42%,46056,11.68%,0.076,0
336,68354,835,1.57%,34737,6.52%,0.5735,1
337,13215,803,14.66%,39736,9.29%,0.8686,1
338,114460,707,12.17%,16139,10.81%,0.2431,0
339,172689,759,8.24%,47313,4.94%,0.378,0
340,97454,806,12.91%,33816,7.77%,0.342,0
341,181073,900,8.29%,27784,4.39%,0.1559,0
342,155103,758,1.23%,37689,3.48%,0.4019,0
343,114255,695,16.50%,37159,5.69%,0.9834,1
344,94088,657,9.26%,43882,3.07%,0.2275,0
345,10679,850,3.18%,44282,3.61%,0.5162,1
346,30138,720,6.67%,48737,7.31%,0.546,0
347,126003,895,3.17%,45721,4.18%,0.6879,0
348,162058,859,12.50%,6258,3.99%,0.2808,0
349,166525,703,5.66%,11277,10.15%,0.8131,1
350,66217,645,4.07%,33959,8.66%,0.9288,0
351,81714,868,11.07%,47079,3.11%,0.6499,1
352,185975,750,15.13%,32701,10.35%,0.2013,0
353,189065,827,11.98%,35439,11.55%,0.9132,1
354,194520,631,11.51%,17638,6.90%,0.2137,0
355,197293,736,12.69%,30264,11.02%,0.8739,0
356,194395,857,4.44%,28517,9.79%,0.8498,0
357,102266,741,9.73%,19098,10.28%,0.3589,0
358,50983,877,15.50%,20888,7.02%,0.5478,1
359,82631,761,3.71%,29831,7.58%,0.216,0
360,131088,808,0.34%,41741,2.53%,0.1996,0
361,47911,886,8.26%,25948,5.54%,0.7879,1
362,180987,722,10.82%,16103,5.72%,0.4705,0
363,148076,827,8.36%,37235,10.61%,0.2049,0
364,87370,656,11.63%,34688,11.67%,0.9678,0
365,72621,648,2.06%,11337,7.10%,0.0545,0
366,39898,635,6.41%,39084,11.62%,0.9235,1
367,144627,680,1.90%,45115,5.05%,0.8065,1
368,138163,785,14.18%,47512,11.17%,0.5408,0
369,77036,609,7.77%,35520,10.49%,0.9875,1
370,39940,635,8.91%,13242,5.66%,0.7739,0
371,138455,744,13.11%,43842,2.60%,0.6296,1
372,60209,879,12.58%,49258,5.37%,0.9699,0
373,153455,708,15.71%,20563,3.64%,0.7282,1
374,143748,817,5.32%,24413,8.75%,0.6826,0
375,130168,659,16.21%,33371,6.99%,0.9686,1
376,162529,686,12.92%,35465,6.52%,0.7481,0
377,98618,658,9.73%,37904,9.23%,0.6301,1
378,25899,816,10.51%,34026,9.79%,0.8537,0
379,27573,730,5.48%,43525,4.05%,0.5113,0
380,96815,865,10.17%,47625,9.07%,0.8001,0
381,62089,822,1.99%,13665,3.65%,0.7757,0
382,15517,812,6.06%,37855,8.72%,0.1895,0
383,107462,726,1.43%,42321,7.43%,0.5002,1
384,129007,735,10.92%,43611,2.60%,0.6192,0
385,107867,805,1.61%,27942,2.96%,0.2667,0
386,125812,696,8.55%,42100,6.18%,0.6379,0
387,107068,616,14.39%,39852,10.71%,0.6298,0
388,62769,778,5.52%,39784,8.34%,0.7646,0
389,127590,800,4.92%,17221,8.77%,0.5779,1
390,80121,867,1.27%,13311,3.20%,0.0696,0
391,79546,711,5.75%,44527,3.87%,0.9867,1
392,151014,817,5.62%,9627,7.73%,0.9993,0
393,127710,812,10.32%,25991,11.85%,0.431,0
394,18672,812,8.64%,13541,2.12%,0.8513,0
395,79813,726,7.34%,49194,7.92%,0.8943,1
396,192973,828,7.19%,35617,5.53%,0.1916,0
397,120588,675,5.19%,14371,9.60%,0.8398,0
398,155818,737,6.36%,12158,2.37%,0.3905,0
399,87637,718,16.27%,26779,3.95%,0.6118,1
400,81613,869,8.81%,30523,3.89%,0.7281,0
401,10424,774,13.96%,28308,3.88%,0.2064,0
402,144075,784,7.15%,25955,3.04%,0.32,0
403,173769,783,12.07%,33590,4.42%,0.4556,0
404,169426,798,10.27%,11511,8.37%,0.597,1
405,129323,704,0.11%,32439,9.82%,0.6059,0
406,158679,708,9.31%,49547,7.38%,0.6623,1
407,42299,743,9.57%,8365,2.89%,0.0578,0
408,59772,677,3.90%,35191,11.62%,0.4846,0
409,166647,626,15.83%,13281,2.10%,0.6894,1
410,44816,798,10.33%,18552,3.12%,0.2692,0
411,158228,770,16.00%,11488,5.12%,0.162,0
412,186130,795,0.44%,9254,5.64%,0.2015,0
413,116098,781,6.38%,41786,4.87%,0.9533,0
414,28980,656,2.88%,8738,6.47%,0.0659,0
415,13476,681,3.89%,16510,8.79%,0.5636,0
416,152535,624,3.37%,41449,8.84%,0.5022,0
417,69677,703,2.93%,34600,3.23%,0.4776,0
418,76169,781,2.91%,15116,6.99%,0.1475,0
419,57275,810,8.78%,20281,11.36%,0.5482,0
420,35608,882,9.24%,14415,9.69%,0.8988,0
421,155806,894,10.33%,17648,9.25%,0.6193,1
422,55880,680,9.42%,35978,5.18%,0.5705,0
423,47953,876,13.44%,13549,5.51%,0.4555,0
424,91381,757,1.15%,20371,5.23%,0.3765,0
425,170533,785,15.96%,38738,2.94%,0.5615,1
426,81929,837,12.01%,37979,4.38%,0.7648,1
427,132759,842,3.73%,20813,9.50%,0.7997,0
428,89041,618,0.87%,37664,8.45%,0.0215,0
429,175725,698,11.00%,32926,9.29%,0.0652,0
430,164256,608,13.13%,19682,4.10%,0.8495,0
431,150290,696,9.65%,6630,5.38%,0.7179,0
432,148511,788,2.30%,22028,5.71%,0.4387,0
433,176651,868,11.20%,45370,5.68%,0.2495,0
434,84872,900,16.59%,32425,2.23%,0.777,1
435,36584,661,11.89%,25290,11.44%,0.3833,0
436,109491,854,8.10%,23741,2.03%,0.5027,1
437,153248,889,5.54%,36176,10.08%,0.7319,1
438,195050,879,1.85%,8965,9.54%,0.1559,0
439,160791,850,14.80%,41998,6.54%,0.4196,0
440,66273,671,16.59%,12930,9.46%,0.417,0
441,184696,661,16.22%,35565,9.34%,0.0044,0
442,106733,627,6.49%,42155,11.08%,0.8036,1
443,119619,606,12.86%,21259,3.03%,0.2863,0
444,55240,839,6.08%,34040,11.34%,0.2803,0
445,65742,682,4.11%,15298,8.63%,0.4891,0
446,28026,740,7.96%,17762,5.50%,0.5667,0
447,71565,760,8.07%,22153,11.95%,0.0626,0
448,30515,875,6.56%,11785,3.15%,0.3587,0
449,185383,877,1.67%,28894,7.72%,0.3201,0
450,80305,625,16.23%,32702,5.23%,0.7145,0
451,142043,618,4.28%,40595,8.71%,0.0543,0
452,47700,640,0.12%,34993,8.81%,0.0429,0
453,74203,858,15.27%,43644,6.95%,0.5349,0
454,153266,620,9.06%,12081,7.48%,0.2567,0
455,39225,764,10.87%,15453,10.06%,0.1702,0
456,126064,666,1.68%,41390,9.83%,0.0365,0
457,155759,774,12.62%,31787,6.04%,0.0185,0
458,103811,782,12.78%,30958,8.53%,0.8682,1
459,177415,825,16.12%,13653,3.61%,0.0707,0
460,145907,897,7.60%,30737,3.76%,0.6636,1
461,139889,809,14.18%,31537,11.92%,0.2467,0
462,115295,868,2.85%,34144,11.39%,0.7115,0
463,160285,626,6.63%,28937,9.07%,0.6799,0
464,80103,890,10.88%,10736,7.04%,0.3098,0
465,151863,875,6.68%,45784,7.36%,0.5941,0
466,195127,858,3.98%,45188,10.24%,0.34,0
467,190283,603,12.98%,5038,6.36%,0.7673,1
468,47085,715,1.97%,29745,7.48%,0.9205,0
469,30614,697,9.58%,7460,10.95%,0.7398,1
470,91200,845,8.53%,23439,3.06%,0.0407,0
471,122804,652,3.58%,26435,9.79%,0.958,1
472,196675,671,3.38%,12673,10.71%,0.1655,0
473,52203,659,0.82%,20516,10.38%,0.4865,0
474,81006,760,5.31%,6185,7.86%,0.4225,0
475,134639,638,12.41%,43635,8.62%,0.7091,1
476,20281,635,7.22%,21406,5.53%,0.3509,0
477,150893,641,13.38%,9369,5.04%,0.1355,0
478,81605,647,0.92%,30958,6.74%,0.8007,0
479,35350,663,3.86%,40271,4.09%,0.5022,1
480,63059,711,15.17%,48692,3.34%,0.4101,0
481,169973,619,15.76%,7547,11.29%,0.4085,0
482,173903,686,6.55%,26471,6.36%,0.9354,1
483,188017,870,0.82%,30850,9.98%,0.7446,1
484,57543,789,2.53%,14736,7.23%,0.3366,0
485,67584,635,4.10%,27896,3.30%,0.7944,0
486,170872,881,4.59%,49130,3.07%,0.9874,0
487,171813,860,12.83%,11088,8.86%,0.6489,1
488,16262,641,9.23%,48678,8.02%,0.2359,0
489,199433,705,11.36%,17434,5.17%,0.1103,0
490,186512,825,1.09%,25658,5.73%,0.1289,0
491,23536,799,16.42%,42237,8.99%,0.6613,1
492,164651,727,0.45%,22688,5.05%,0.769,1
493,10251,816,12.74%,49416,5.65%,0.0177,0
494,40391,789,12.47%,41231,9.76%,0.1091,0
495,78132,886,9.89%,36618,7.51%,0.8513,1
496,145364,838,5.35%,29715,11.90%,0.1337,0
497,89410,816,10.45%,38615,4.70%,0.2062,0
498,51659,654,11.13%,31404,11.20%,0.2163,0
499,59716,602,6.11%,43921,3.88%,0.04,0
500,10892,815,16.52%,21775,8.76%,0.8906,0
501,32896,819,14.09%,33227,2.69%,0.9708,0
502,146340,851,14.54%,45279,10.66%,0.4996,0
503,194509,670,6.56%,11433,3.97%,0.3445,0
504,12959,849,15.93%,24259,5.45%,0.8753,1
505,24312,609,12.69%,12988,6.58%,0.946,0
506,72634,658,13.09%,46571,3.17%,0.82,1
507,75330,675,0.41%,36503,9.06%,0.2479,0
508,194867,689,2.30%,17947,2.03%,0.1613,0
509,121244,669,10.48%,28318,4.36%,0.8329,1
510,180757,672,9.58%,13688,11.33%,0.282,0
511,74128,710,4.72%,35988,6.19%,0.2644,0
512,46450,755,11.82%,49274,6.32%,0.5375,1
513,160613,832,4.30%,24316,8.51%,0.0568,0
514,126610,667,4.97%,49505,6.14%,0.8681,1
515,124144,880,5.27%,30373,5.62%,0.7627,1
516,20810,850,1.13%,45944,11.38%,0.2462,0
